Date,SPY,VTI,IWM,IEUR,EEM,EWJ,MTUM,QUAL,VLUE,USMV,IWD,IWF,XLF,XLK,XLE,XLV,XLY,XLP,XLRE,XLU,XLB,GLD,DBC,VNQ,LQD,HYG,IEF,TIP,SHY
2016-03-10,26.37486267089844,38.09888458251953,29.806791305541992,93.36388397216795,169.61753845214844,86.3156967163086,62.54905700683594,54.83175659179688,46.91020965576172,35.66262435913086,77.85345458984375,88.01376342773438,14.832621574401855,37.78033065795898,40.84397888183594,57.204227447509766,68.497314453125,40.34943389892578,21.638145446777344,35.23423385620117,35.881351470947266,121.5,11.701409339904783,53.86827087402344,83.37593841552734,49.055267333984375,88.34465026855469,85.0964584350586,70.95428466796875
2016-03-11,26.927385330200195,39.11667251586914,30.58216094970703,95.36463165283205,172.3546600341797,87.77880096435547,63.545166015625,55.61777114868164,47.8225212097168,36.08070755004883,79.21817016601562,89.4250717163086,15.218326568603516,38.36198425292969,41.89883804321289,58.31803131103516,69.54999542236328,40.48066711425781,22.141326904296875,35.27086639404297,36.53972244262695,119.41000366210938,11.74510383605957,55.075721740722656,83.61335754394531,49.64759826660156,88.09272003173828,85.06604766845703,70.88726806640625
2016-03-14,26.764875411987305,39.28630447387695,30.53742218017578,95.11780548095705,172.1336669921875,87.6767349243164,63.67854690551758,55.609130859375,47.64317321777344,36.089054107666016,79.0001220703125,89.49838256835938,15.170948028564451,38.40673828125,41.62336730957031,58.07148361206055,69.8109359741211,40.45750045776367,22.2130069732666,35.31480026245117,36.29281997680664,117.87000274658205,11.64023780822754,55.08252334594727,83.85798645019531,49.50858688354492,88.15773010253906,84.96739959716797,70.88726806640625
2016-03-15,26.38298988342285,38.77741622924805,30.224300384521484,93.63711547851562,171.85313415527344,87.37762451171875,63.64297866821289,55.66960144042969,47.36246109008789,36.07234573364258,78.71748352050781,89.27841186523438,15.16418170928955,38.5499153137207,41.542747497558594,57.17021179199219,69.7929458618164,40.5578498840332,22.359935760498047,35.38072204589844,36.375125885009766,117.95999908447266,11.544109344482422,55.109642028808594,83.8292236328125,49.04923629760742,88.14152526855469,84.80036163330078,70.91238403320312
2016-03-16,26.9111328125,38.84526443481445,30.56724739074707,94.2981185913086,172.84771728515625,87.92457580566406,63.98983001708984,55.92009353637695,47.73674392700195,36.24793243408203,79.21006774902344,89.91077423095703,15.130346298217772,38.9973258972168,42.26165771484375,57.03417205810547,70.3597640991211,40.65046310424805,22.191499710083008,35.92280578613281,36.67963409423828,120.58999633789062,11.74510383605957,55.77444076538086,84.23210144042969,49.37562561035156,88.60472869873047,85.70380401611328,71.05476379394531
2016-03-17,27.504283905029297,38.98097229003906,30.88484764099121,95.74357604980467,173.94424438476562,88.59973907470703,63.954246520996094,56.36060333251953,48.02526473999024,36.45698165893555,79.96915435791016,90.31401824951172,15.313054084777832,39.1405029296875,42.839473724365234,56.37099838256836,70.45875549316406,40.89743423461914,22.93408393859864,36.12057495117188,37.35445022583008,120.12999725341795,11.876188278198242,56.56134033203125,84.49112701416016,49.68994140625,88.7022705078125,85.8935775756836,71.04641723632812
2016-03-18,27.650543212890625,38.84526443481445,30.850557327270508,96.60733795166016,174.62783813476562,88.99286651611328,64.07878112792969,56.49018096923828,48.422943115234375,36.52387619018555,80.34060668945312,90.68055725097656,15.448982238769531,39.20347213745117,42.96264266967773,57.033992767333984,70.54998016357422,40.84390640258789,22.77271270751953,35.89031982421875,37.50888442993164,119.8000030517578,11.86744785308838,56.31709671020508,84.68533325195312,49.80476379394531,88.85661315917969,86.18206787109375,71.06316375732422
2016-03-21,27.707414627075195,39.014892578125,30.6790771484375,96.37815856933594,174.87559509277344,89.0783462524414,64.19437408447266,56.611106872558594,48.469722747802734,36.49042892456055,80.38097381591797,90.8088607788086,15.42180061340332,39.338356018066406,42.813758850097656,57.36676788330078,70.58611297607422,40.86716842651367,22.65693473815918,35.853416442871094,37.68231201171875,118.95999908447266,11.902403831481934,55.8088493347168,84.5845947265625,49.75032806396485,88.60472869873047,86.20486450195312,71.05476379394531
2016-03-22,27.64241600036621,39.25237274169922,30.522510528564453,96.26359558105467,174.7815704345703,89.05268859863281,64.2210693359375,56.585205078125,48.415130615234375,36.43188095092773,80.25177764892578,90.9188232421875,15.374225616455078,39.34737777709961,42.57691955566406,57.93849563598633,70.46868133544922,40.62667083740234,22.61712455749512,35.73533248901367,37.25288009643555,119.30999755859376,11.98979377746582,55.8088493347168,84.42631530761719,49.61739730834961,88.41785430908203,85.98467254638672,71.01292419433594
2016-03-23,27.17114448547364,38.74348831176758,30.254119873046875,94.48406219482422,173.62811279296875,88.32624816894531,64.1417007446289,56.0410270690918,47.432647705078125,36.37224960327149,79.58552551269531,90.35314178466795,15.25868034362793,39.12252426147461,41.643104553222656,57.52891540527344,69.97177124023438,40.63444900512695,22.533918380737305,36.00101089477539,36.7904167175293,116.61000061035156,11.736364364624023,55.50700378417969,84.85079956054688,49.38771057128906,88.82415008544922,86.0758056640625,71.05476379394531
